YEAR,MONTH,DAY,HOUR,NO2
2018,01,09,21,34.6
2018,01,09,22,30.4
2018,01,09,23,31.5
2018,01,10,00,40.7
2018,01,10,01,43.4
2018,01,10,02,35.5
2018,01,10,03,35.0
2018,01,10,04,33.8
2018,01,10,05,31.7
2018,01,10,06,29.2
2018,01,10,07,36.1
2018,01,10,08,42.2
2018,01,10,09,42.4
2018,01,10,10,39.5
2018,01,10,11,36.5
2018,01,10,12,37.4
2018,01,10,13,34.4
2018,01,10,14,47.2
2018,01,10,15,39.7
2018,01,10,16,52.9
2018,01,10,17,50.4
2018,01,10,18,52.5
2018,01,10,19,48.5
2018,01,10,20,52.3
2018,01,10,21,51.4
2018,01,10,22,45.3
2018,01,10,23,40.9
2018,01,11,00,51.4
2018,01,11,01,42.2
2018,01,11,02,52.9
2018,01,11,03,46.8
2018,01,11,04,45.8
2018,01,11,05,51.0
2018,01,11,06,49.7
2018,01,11,07,55.2
2018,01,11,08,145.4
2018,01,11,09,220.6
2018,01,11,10,185.7
2018,01,11,11,137.7
2018,01,11,12,115.9
2018,01,11,13,64.9
2018,01,11,14,38.8
2018,01,11,15,33.8
2018,01,11,16,53.9
2018,01,11,17,32.7
2018,01,11,18,48.5
2018,01,11,19,22.3
2018,01,11,20,16.4
2018,01,11,21,22.7
2018,01,11,22,19.3
2018,01,11,23,14.3
2018,01,12,00,15.1
2018,01,12,01,22.7
2018,01,12,02,19.5
2018,01,12,03,18.1
2018,01,12,04,19.7
2018,01,12,05,22.3
2018,01,12,06,35.7
2018,01,12,07,34.8
2018,01,12,08,32.3
2018,01,12,09,30.0
2018,01,12,10,20.2
2018,01,12,11,20.1
2018,01,12,12,26.9
2018,01,12,13,34.6
2018,01,12,14,36.5
2018,01,12,15,45.3
2018,01,12,16,45.8
2018,01,12,17,48.7
2018,01,12,18,47.2
2018,01,12,19,51.0
2018,01,12,20,39.2
2018,01,12,21,42.6
2018,01,12,22,44.7
2018,01,12,23,37.6
2018,01,13,00,35.1
2018,01,13,01,35.7
