YEAR,MONTH,DAY,HOUR,PM25
2018,01,09,21,30.8
2018,01,09,22,23.5
2018,01,09,23,28.8
2018,01,10,00,32.2
2018,01,10,01,27.3
2018,01,10,02,24.5
2018,01,10,03,24.6
2018,01,10,04,14.9
2018,01,10,05,14.5
2018,01,10,06,14.9
2018,01,10,07,12.9
2018,01,10,08,11.6
2018,01,10,09,14.3
2018,01,10,10,13.0
2018,01,10,11,9.8
2018,01,10,12,9.8
2018,01,10,13,11.7
2018,01,10,14,11.8
2018,01,10,15,10.7
2018,01,10,16,17.5
2018,01,10,17,13.5
2018,01,10,18,14.6
2018,01,10,19,14.5
2018,01,10,20,16.6
2018,01,10,21,21.0
2018,01,10,22,17.5
2018,01,10,23,22.5
2018,01,11,00,15.0
2018,01,11,01,16.9
2018,01,11,02,15.8
2018,01,11,03,25.8
2018,01,11,04,20.2
2018,01,11,05,18.5
2018,01,11,06,19.5
2018,01,11,07,16.7
2018,01,11,08,21.3
2018,01,11,09,20.7
2018,01,11,10,18.3
2018,01,11,11,23.6
2018,01,11,12,28.8
2018,01,11,13,31.6
2018,01,11,14,26.3
2018,01,11,15,18.3
2018,01,11,16,26.3
2018,01,11,17,6.9
2018,01,11,18,10.7
2018,01,11,19,20.0
2018,01,11,20,9.0
2018,01,11,21,16.0
2018,01,11,22,17.5
2018,01,11,23,19.2
2018,01,12,00,15.4
2018,01,12,01,20.3
2018,01,12,02,23.8
2018,01,12,03,25.1
2018,01,12,04,22.2
2018,01,12,05,22.1
2018,01,12,06,15.5
2018,01,12,07,18.8
2018,01,12,08,25.6
2018,01,12,09,25.5
2018,01,12,10,23.9
2018,01,12,11,21.1
2018,01,12,12,28.0
2018,01,12,13,32.9
2018,01,12,14,24.7
2018,01,12,15,28.2
2018,01,12,16,31.8
2018,01,12,17,22.2
2018,01,12,18,21.1
2018,01,12,19,22.5
2018,01,12,20,27.1
2018,01,12,21,28.6
2018,01,12,22,23.2
2018,01,12,23,28.9
2018,01,13,00,43.7
2018,01,13,01,51.1
2018,01,13,02,58.7
2018,01,13,03,45.5
2018,01,13,04,48.9
2018,01,13,05,39.1
2018,01,13,06,48.5
2018,01,13,07,51.9
2018,01,13,08,38.6
2018,01,13,09,40.2
2018,01,13,10,46.9
2018,01,13,11,49.6
2018,01,13,12,44.8
2018,01,13,13,49.5
2018,01,13,14,52.7
2018,01,13,15,47.1
2018,01,13,16,42.2
2018,01,13,17,33.4
2018,01,13,18,18.8
2018,01,13,19,14.5
2018,01,13,20,18.4
2018,01,13,21,26.3
2018,01,13,22,26.6
2018,01,13,23,27.0
2018,01,14,00,25.2
2018,01,14,01,26.1
2018,01,14,02,29.7
2018,01,14,03,25.9
2018,01,14,04,27.5
2018,01,14,05,25.2
2018,01,14,06,26.1
2018,01,14,07,27.2
2018,01,14,08,24.4
2018,01,14,09,29.1
2018,01,14,10,27.0
2018,01,14,11,25.4
2018,01,14,12,20.9
2018,01,14,13,31.1
2018,01,14,14,27.5
2018,01,14,15,23.1
2018,01,14,16,19.4
2018,01,14,17,23.6
2018,01,14,18,22.2
2018,01,14,19,21.4
2018,01,14,20,23.7
2018,01,14,21,18.9
2018,01,14,22,28.2
2018,01,14,23,35.9
2018,01,15,00,35.1
2018,01,15,01,30.2
2018,01,15,02,36.4
2018,01,15,03,37.3
2018,01,15,04,35.6
2018,01,15,05,36.6
2018,01,15,06,40.8
2018,01,15,07,33.4
2018,01,15,08,20.0
2018,01,15,09,13.5
2018,01,15,10,13.2
2018,01,15,11,12.4
2018,01,15,12,11.1
2018,01,15,13,9.5
2018,01,15,14,8.3
2018,01,15,15,7.1
2018,01,15,16,5.5
2018,01,15,17,6.3
2018,01,15,18,5.4
2018,01,15,19,3.4
2018,01,15,20,4.9
2018,01,15,21,4.8
2018,01,15,22,4.1
2018,01,15,23,5.3
2018,01,16,00,0.5
2018,01,16,01,-5.0
2018,01,16,02,-0.8
2018,01,16,03,6.5
2018,01,16,04,8.7
2018,01,16,05,9.0
2018,01,16,06,7.2
2018,01,16,07,16.0
2018,01,16,08,12.7
2018,01,16,09,3.6
2018,01,16,10,1.1
2018,01,16,11,5.7
2018,01,16,12,3.2
2018,01,16,13,2.0
2018,01,16,14,4.9
2018,01,16,15,4.5
2018,01,16,16,4.9
2018,01,16,17,1.4
2018,01,16,18,-2.7
