YEAR,MONTH,DAY,HOUR,O3
2018,01,09,21,0.2
2018,01,09,22,-0.3
2018,01,09,23,0.8
2018,01,10,00,0.1
2018,01,10,01,0.4
2018,01,10,02,0.7
2018,01,10,03,4.1
2018,01,10,04,7.1
2018,01,10,05,8.0
2018,01,10,06,11.3
2018,01,10,07,5.4
2018,01,10,08,2.6
2018,01,10,09,6.2
2018,01,10,10,11.3
2018,01,10,11,16.8
2018,01,10,12,18.2
2018,01,10,13,19.2
2018,01,10,14,14.2
2018,01,10,15,15.8
2018,01,10,16,7.4
2018,01,10,17,5.1
2018,01,10,18,4.4
2018,01,10,19,3.9
2018,01,10,20,2.4
2018,01,10,21,6.9
2018,01,10,22,13.3
2018,01,10,23,9.4
2018,01,11,00,2.8
2018,01,11,01,8.8
2018,01,11,02,1.0
2018,01,11,03,1.0
2018,01,11,04,1.7
2018,01,11,05,0.1
2018,01,11,06,0.0
2018,01,11,07,0.1
2018,01,11,08,0.4
2018,01,11,09,0.9
2018,01,11,10,1.1
2018,01,11,11,1.9
2018,01,11,12,2.4
2018,01,11,13,11.2
2018,01,11,14,13.5
2018,01,11,15,21.9
2018,01,11,16,5.7
2018,01,11,17,23.3
2018,01,11,18,7.1
2018,01,11,19,26.6
2018,01,11,20,29.5
2018,01,11,21,15.7
2018,01,11,22,18.8
2018,01,11,23,21.8
2018,01,12,00,20.3
2018,01,12,01,12.7
2018,01,12,02,14.5
2018,01,12,03,13.8
2018,01,12,04,11.8
2018,01,12,05,8.9
2018,01,12,06,0.3
2018,01,12,07,0.4
2018,01,12,08,0.2
2018,01,12,09,2.4
2018,01,12,10,5.4
2018,01,12,11,4.3
2018,01,12,12,3.6
2018,01,12,13,2.5
2018,01,12,14,4.8
2018,01,12,15,0.6
2018,01,12,16,0.2
2018,01,12,17,0.1
2018,01,12,18,0.2
2018,01,12,19,0.3
2018,01,12,20,0.5
2018,01,12,21,0.2
2018,01,12,22,0.0
2018,01,12,23,0.0
2018,01,13,00,0.4
2018,01,13,01,0.4
2018,01,13,02,0.3
2018,01,13,03,0.5
2018,01,13,04,0.2
2018,01,13,05,-0.2
2018,01,13,06,0.0
2018,01,13,07,0.0
2018,01,13,08,0.9
2018,01,13,09,1.1
2018,01,13,10,2.3
2018,01,13,11,1.9
2018,01,13,12,5.5
2018,01,13,13,8.8
2018,01,13,14,5.2
2018,01,13,15,1.4
2018,01,13,16,0.8
2018,01,13,17,0.7
2018,01,13,18,15.2
2018,01,13,19,19.8
2018,01,13,20,11.0
2018,01,13,21,0.6
2018,01,13,22,3.7
2018,01,13,23,2.4
2018,01,14,00,1.4
2018,01,14,01,2.1
2018,01,14,02,3.0
2018,01,14,03,5.2
2018,01,14,04,7.1
2018,01,14,05,7.3
2018,01,14,06,3.8
2018,01,14,07,8.6
2018,01,14,08,7.8
2018,01,14,09,11.9
2018,01,14,10,17.4
2018,01,14,11,19.2
2018,01,14,12,19.2
2018,01,14,13,18.4
2018,01,14,14,23.0
2018,01,14,15,17.3
2018,01,14,16,12.0
2018,01,14,17,6.3
2018,01,14,18,3.4
2018,01,14,19,5.8
2018,01,14,20,15.4
2018,01,14,21,10.0
2018,01,14,22,3.0
2018,01,14,23,11.4
2018,01,15,00,26.0
2018,01,15,01,23.4
2018,01,15,02,26.6
2018,01,15,03,20.2
2018,01,15,04,20.3
2018,01,15,05,16.8
2018,01,15,06,16.4
2018,01,15,07,13.7
2018,01,15,08,22.2
2018,01,15,09,31.1
2018,01,15,10,29.5
2018,01,15,11,35.9
2018,01,15,12,43.9
2018,01,15,13,46.6
2018,01,15,14,43.1
2018,01,15,15,42.0
2018,01,15,16,44.7
2018,01,15,17,48.4
2018,01,15,18,48.9
2018,01,15,19,38.5
2018,01,15,20,32.0
2018,01,15,21,40.9
2018,01,15,22,37.6
2018,01,15,23,40.0
2018,01,16,00,42.2
2018,01,16,01,39.4
2018,01,16,02,27.4
2018,01,16,03,32.6
2018,01,16,04,29.9
2018,01,16,05,43.6
2018,01,16,06,46.8
2018,01,16,07,60.7
2018,01,16,08,76.2
2018,01,16,09,83.9
2018,01,16,10,58.8
2018,01,16,11,56.1
2018,01,16,12,72.4
2018,01,16,13,77.9
2018,01,16,14,71.5
2018,01,16,15,76.8
2018,01,16,16,67.3
2018,01,16,17,62.6
2018,01,16,18,65.8
2018,01,16,19,62.5
2018,01,16,20,52.9
2018,01,16,21,60.0
2018,01,16,22,52.8
2018,01,16,23,57.8
2018,01,17,00,60.0
2018,01,17,01,55.0
2018,01,17,02,68.1
2018,01,17,03,56.3
2018,01,17,04,66.2
2018,01,17,05,77.9
2018,01,17,06,75.0
2018,01,17,07,66.4
2018,01,17,08,60.8
2018,01,17,09,67.8
2018,01,17,10,58.3
2018,01,17,11,66.6
2018,01,17,12,73.4
2018,01,17,13,71.0
2018,01,17,14,64.4
2018,01,17,15,53.7
2018,01,17,16,49.7
2018,01,17,17,55.5
2018,01,17,18,53.6
2018,01,17,19,61.9
2018,01,17,20,59.6
2018,01,17,21,45.2
2018,01,17,22,49.2
2018,01,17,23,42.1
